case,mean_direction_cosine,minimum_direction_cosine,inward_fraction,strong_alignment_fraction_cos_gt_0_8,trajectory_capture_fraction_1p2mm,estimated_force_median_uN,estimated_force_p10_uN,estimated_weight_uN,estimated_median_force_to_weight
point,0.9229456487496587,0.808922822185758,1.0,1.0,1.0,26.301330874231887,9.31590241468159,3.465956204586713,7.58847755762918
two-points,0.9253553504532748,0.7973351802215148,1.0,0.9952662721893492,1.0,28.109859254592823,10.04678859428946,3.465956204586713,8.11027537433777
circle,0.9390586611465435,0.6817313412499317,1.0,0.9904648390941597,1.0,47.97472935779043,11.160875005975974,3.465956204586713,13.841700969649448
